date,station_id,robust_z,peak_flow,baseline_peak,surge_ratio,peak_time,peak_bin,day_total,weekday
2023-05-06,124,78.33332824707031,236.0,48.0,4.916666507720947,08:20:00,14,4308.0,Saturday
2023-05-06,43,73.48836517333984,804.0,172.0,4.6744184494018555,08:40:00,16,14171.0,Saturday
2023-05-06,4,61.54728317260742,480.0,115.0,4.17391300201416,08:20:00,14,9725.0,Saturday
2023-05-06,42,60.561092376708984,1768.0,286.5,6.171029567718506,08:40:00,16,27839.0,Saturday
2023-05-06,122,59.49008560180664,866.0,204.5,4.2347187995910645,08:40:00,16,14429.0,Saturday
2023-05-06,3,57.191200256347656,2376.0,341.0,6.967741966247559,08:40:00,16,39633.0,Saturday
2023-05-06,60,51.016029357910156,526.0,110.0,4.781818389892578,08:10:00,13,9762.0,Saturday
2023-05-06,92,45.44181823730469,1870.0,571.5,3.2720909118652344,08:00:00,12,42126.0,Saturday
2023-05-01,101,39.650962829589844,3438.0,822.0,4.18248176574707,19:20:00,80,174051.0,Monday
2023-05-01,29,37.12343978881836,1920.0,516.5,3.7173280715942383,10:40:00,28,107445.0,Monday
2023-05-06,93,35.85185241699219,2639.0,945.0,2.7925925254821777,07:50:00,11,67562.0,Saturday
2023-05-06,162,35.06493377685547,212.0,77.0,2.753246784210205,08:10:00,13,5444.0,Saturday
2023-05-06,68,34.23040771484375,441.0,136.5,3.230769157409668,07:40:00,10,7375.0,Saturday
2023-05-06,123,31.869688034057617,285.0,96.0,2.96875,08:20:00,14,3556.0,Saturday
2023-05-06,79,31.36382293701172,167.0,27.5,6.072727203369141,08:10:00,13,1584.0,Saturday
2023-05-06,186,30.16216278076172,232.0,92.5,2.508108139038086,08:00:00,12,5418.0,Saturday
2023-05-06,90,29.538728713989258,1127.0,382.5,2.9464051723480225,08:10:00,13,27158.0,Saturday
2023-05-02,15,29.111616134643555,1078.0,439.0,2.455580949783325,09:40:00,22,52812.0,Tuesday
2023-05-06,64,29.067340850830078,624.0,171.5,3.638484001159668,08:00:00,12,13906.0,Saturday
2023-05-28,59,28.36073112487793,548.0,106.5,5.1455397605896,17:50:00,71,7281.0,Sunday
2023-05-06,132,27.661972045898438,423.0,177.5,2.383098602294922,08:20:00,14,11225.0,Saturday
