station_id,station_name_cn,station_name_en,latitude,longitude,line_primary,is_interchange,station_class
1,Xinjiekou,Xinjiekou,32.0438,118.7841,1,0,Hub
2,Nanjing South,Nanjing South,31.9702,118.7974,1,0,Hub
3,Nanjing Railway,Nanjing Railway,32.0863,118.7973,1,0,Hub
4,Yuantong,Yuantong,32.0126,118.7261,2,0,Hub
5,Station_5,Station_5,32.105075,118.835533,6,0,Standard
6,Station_6,Station_6,32.123465,118.830116,7,0,Standard
7,Station_7,Station_7,32.14152,118.819693,8,1,Standard
8,Station_8,Station_8,32.158032,118.804273,9,0,Standard
9,Station_9,Station_9,32.1718,118.784138,10,0,Standard
10,Station_10,Station_10,32.181681,118.759835,11,0,Standard
11,Station_11,Station_11,32.186652,118.732165,12,0,Standard
12,Jimingsi,Jimingsi,32.0631,118.7925,3,0,Hub
13,Station_13,Station_13,32.178672,118.671027,1,0,Standard
14,Station_14,Station_14,32.16471,118.640139,2,1,Standard
15,Gulou,Gulou,32.0594,118.7828,1,0,Hub
16,Station_16,Station_16,32.05476,118.754036,4,0,Standard
17,Station_17,Station_17,32.051465,118.740773,5,0,Standard
18,Station_18,Station_18,32.043833,118.7281,6,0,Standard
19,Station_19,Station_19,32.032034,118.717126,7,0,Standard
20,Station_20,Station_20,32.016488,118.708907,8,0,Standard
21,Station_21,Station_21,31.997855,118.704394,9,1,Standard
22,Station_22,Station_22,31.977008,118.704383,10,0,Standard
23,Station_23,Station_23,31.954995,118.709469,11,0,Standard
24,Station_24,Station_24,31.932999,118.720012,12,0,Standard
25,Station_25,Station_25,31.912282,118.736109,13,0,Standard
26,Station_26,Station_26,31.894132,118.757577,1,0,Standard
27,Station_27,Station_27,31.8798,118.783954,2,0,Standard
28,Station_28,Station_28,31.870446,118.814502,3,1,Standard
29,Fuqiao,Fuqiao,32.0501,118.7942,3,0,Hub
30,Station_30,Station_30,32.02647,118.794083,5,0,Standard
31,Station_31,Station_31,32.019266,118.804644,6,0,Standard
32,Station_32,Station_32,32.015482,118.817776,7,0,Standard
33,Station_33,Station_33,32.015747,118.832567,8,0,Standard
34,Station_34,Station_34,32.020471,118.847973,9,0,Standard
35,Station_35,Station_35,32.029817,118.862869,10,1,Standard
36,Station_36,Station_36,32.043691,118.8761,11,0,Standard
37,Station_37,Station_37,32.061735,118.886542,12,0,Standard
38,Station_38,Station_38,32.083338,118.893154,13,0,Standard
39,Station_39,Station_39,32.107658,118.895033,1,0,Standard
40,Station_40,Station_40,32.133649,118.891465,2,0,Standard
41,Station_41,Station_41,32.160107,118.881961,3,0,Standard
42,Shanghai Lu,Shanghai Lu,32.0456,118.7731,2,1,Hub
43,Hanzhongmen,Hanzhongmen,32.0441,118.7611,2,0,Hub
44,Station_44,Station_44,32.228896,118.817014,6,0,Standard
45,Mochouhu,Mochouhu,32.0361,118.7511,2,0,Hub
46,Station_46,Station_46,32.075322,118.778591,8,0,Standard
47,Station_47,Station_47,32.08517,118.769115,9,0,Standard
48,Station_48,Station_48,32.092342,118.756177,10,0,Standard
49,Station_49,Station_49,32.095961,118.740475,11,1,Standard
50,Station_50,Station_50,32.095324,118.722901,12,0,Standard
51,Station_51,Station_51,32.089934,118.704503,13,0,Standard
52,Station_52,Station_52,32.079537,118.686433,1,0,Standard
53,Station_53,Station_53,32.064143,118.669898,2,0,Standard
54,Station_54,Station_54,32.044028,118.6561,3,0,Standard
55,Station_55,Station_55,32.019739,118.646183,4,0,Standard
56,Station_56,Station_56,31.992076,118.641171,5,1,Standard
57,Station_57,Station_57,31.962067,118.641918,6,0,Standard
58,Station_58,Station_58,31.930927,118.64906,7,0,Standard
59,Xianlin Center,Xianlin Center,32.0911,118.9181,2,0,Hub
60,Yangshan Park,Yangshan Park,32.0941,118.9321,2,0,Hub
61,Station_61,Station_61,32.013752,118.773095,10,0,Standard
62,Station_62,Station_62,32.000484,118.776371,11,0,Standard
63,Station_63,Station_63,31.9878,118.783984,12,1,Standard
64,Station_64,Station_64,31.976808,118.795767,13,0,Standard
65,Station_65,Station_65,31.968566,118.811301,1,0,Standard
66,Station_66,Station_66,31.964026,118.829927,2,0,Standard
67,Station_67,Station_67,31.963984,118.850774,3,0,Standard
68,Station_68,Station_68,31.969038,118.872794,4,0,Standard
69,Station_69,Station_69,31.979548,118.894806,5,0,Standard
70,Station_70,Station_70,31.995614,118.915546,6,1,Standard
71,Station_71,Station_71,32.017056,118.933729,7,0,Standard
72,Station_72,Station_72,32.043411,118.9481,8,0,Standard
73,Station_73,Station_73,32.073945,118.957499,9,0,Standard
74,Station_74,Station_74,32.107669,118.960918,10,0,Standard
75,Station_75,Station_75,32.053757,118.801445,11,0,Standard
76,Station_76,Station_76,32.064308,118.808665,12,0,Standard
77,Station_77,Station_77,32.077434,118.812468,13,1,Standard
78,Station_78,Station_78,32.092225,118.812224,1,0,Standard
79,Station_79,Station_79,32.107638,118.807523,2,0,Standard
80,Station_80,Station_80,32.122548,118.798199,3,0,Standard
81,Station_81,Station_81,32.1358,118.784345,4,0,Standard
82,Station_82,Station_82,32.146268,118.766317,5,0,Standard
83,Station_83,Station_83,32.152912,118.744724,6,0,Standard
84,Station_84,Station_84,32.154828,118.720407,7,1,Standard
85,Station_85,Station_85,32.151298,118.69441,8,0,Standard
86,Station_86,Station_86,32.141833,118.667938,9,0,Standard
87,Station_87,Station_87,32.126207,118.642307,10,0,Standard
88,Station_88,Station_88,32.104474,118.618889,11,0,Standard
89,Station_89,Station_89,32.076988,118.599053,12,0,Standard
90,Station_90,Station_90,32.043859,118.7641,13,0,Standard
91,Station_91,Station_91,32.038338,118.75257,1,1,Standard
92,Dajiangdong,Dajiangdong,32.1241,118.7421,3,0,Hub
93,Station_93,Station_93,32.015949,118.735517,3,0,Standard
94,Station_94,Station_94,32.000252,118.731874,4,0,Standard
95,Station_95,Station_95,31.982678,118.732486,5,0,Standard
96,Station_96,Station_96,31.964271,118.737848,6,0,Standard
97,Station_97,Station_97,31.946186,118.748218,7,0,Standard
98,Station_98,Station_98,31.929628,118.763588,8,1,Standard
99,Station_99,Station_99,31.915801,118.783683,9,0,Standard
100,Station_100,Station_100,31.905848,118.807957,10,0,Standard
101,Olympic East,Olympic East,32.0072,118.7351,10,0,Hub
102,Mengdajie,Mengdajie,32.0161,118.7421,2,0,Hub
103,Olympic West,Olympic West,32.0021,118.7261,10,0,Hub
104,Station_104,Station_104,31.922463,118.927702,1,0,Standard
105,Station_105,Station_105,32.03374,118.801386,2,1,Standard
106,Station_106,Station_106,32.03275,118.814132,3,0,Standard
107,Station_107,Station_107,32.036007,118.827404,4,0,Standard
108,Station_108,Station_108,32.043601,118.8401,5,0,Standard
109,Station_109,Station_109,32.055368,118.851109,6,0,Standard
110,Station_110,Station_110,32.070889,118.859374,7,0,Standard
111,Station_111,Station_111,32.089509,118.863942,8,0,Standard
112,Station_112,Station_112,32.110356,118.864015,9,1,Standard
113,Station_113,Station_113,32.132383,118.858993,10,0,Standard
114,Station_114,Station_114,32.15441,118.848516,11,0,Standard
115,Station_115,Station_115,32.175175,118.832481,12,0,Standard
116,Station_116,Station_116,32.193389,118.811066,13,0,Standard
117,Station_117,Station_117,32.207799,118.784732,1,0,Standard
118,Station_118,Station_118,32.217244,118.754212,2,0,Standard
119,Station_119,Station_119,32.220713,118.720493,3,1,Standard
120,Station_120,Station_120,32.06116,118.774169,4,0,Standard
121,Station_121,Station_121,32.068395,118.763629,5,0,Standard
122, Daxuecheng, Daxuecheng,31.9241,118.8821,1,0,Hub
123,Station_123,Station_123,32.071996,118.735716,7,0,Standard
124,Jiangning,Jiangning,31.9341,118.8421,1,0,Hub
125,Station_125,Station_125,32.058016,118.705373,9,0,Standard
126,Station_126,Station_126,32.044182,118.692101,10,1,Standard
127,Station_127,Station_127,32.026169,118.681605,11,0,Standard
128,Station_128,Station_128,32.004585,118.674929,12,0,Standard
129,Station_129,Station_129,31.980271,118.672978,13,0,Standard
130,Station_130,Station_130,31.95427,118.67647,1,0,Standard
131,Station_131,Station_131,31.927784,118.685895,2,0,Standard
132,Station_132,Station_132,31.90213,118.701484,3,0,Standard
133,Station_133,Station_133,31.878679,118.723181,4,1,Standard
134,Station_134,Station_134,31.858802,118.750638,5,0,Standard
135,Station_135,Station_135,32.0238,118.784011,6,0,Standard
136,Station_136,Station_136,32.012262,118.789516,7,0,Standard
137,Station_137,Station_137,32.002386,118.798962,8,0,Standard
138,Station_138,Station_138,31.995176,118.811879,9,0,Standard
139,Station_139,Station_139,31.991509,118.827571,10,0,Standard
140,Station_140,Station_140,31.992095,118.845146,11,1,Standard
141,Station_141,Station_141,31.997431,118.86356,12,0,Standard
142,Station_142,Station_142,32.007773,118.881661,13,0,Standard
143,Station_143,Station_143,32.023119,118.898242,1,0,Standard
144,Station_144,Station_144,32.043193,118.912099,2,0,Standard
145,Station_145,Station_145,32.067452,118.922088,3,0,Standard
146,Station_146,Station_146,32.0951,118.927182,4,0,Standard
147,Station_147,Station_147,32.125112,118.926523,5,1,Standard
148,Station_148,Station_148,32.156272,118.919473,6,0,Standard
149,Station_149,Station_149,32.187222,118.905649,7,0,Standard
150,Station_150,Station_150,32.061071,118.794185,8,0,Standard
151,Station_151,Station_151,32.073815,118.795194,9,0,Standard
152,Station_152,Station_152,32.087093,118.791957,10,0,Standard
153,Station_153,Station_153,32.099799,118.784382,11,0,Standard
154,Station_154,Station_154,32.110826,118.772632,12,1,Standard
155,Station_155,Station_155,32.119114,118.757122,13,0,Standard
156,Station_156,Station_156,32.12371,118.73851,1,0,Standard
157,Station_157,Station_157,32.123813,118.717663,2,0,Standard
158,Station_158,Station_158,32.118825,118.695628,3,0,Standard
159,Station_159,Station_159,32.108379,118.673585,4,0,Standard
160,Station_160,Station_160,32.092375,118.652797,5,0,Standard
161,Station_161,Station_161,32.070988,118.634551,6,1,Standard
162,Sanyuanli,Sanyuanli,31.9141,118.8121,1,0,Hub
163,Station_163,Station_163,32.014169,118.610612,8,0,Standard
164,Station_164,Station_164,31.980455,118.607093,9,0,Standard
165,Station_165,Station_165,32.033894,118.766725,10,0,Standard
166,Station_166,Station_166,32.023365,118.759475,11,0,Standard
167,Station_167,Station_167,32.01025,118.755632,12,0,Standard
168,Station_168,Station_168,31.995458,118.755832,13,1,Standard
169,Station_169,Station_169,31.980031,118.760487,1,0,Standard
170,Station_170,Station_170,31.965094,118.769767,2,0,Standard
171,Station_171,Station_171,31.951801,118.783582,3,0,Standard
172,Station_172,Station_172,31.941279,118.801579,4,0,Standard
173,Station_173,Station_173,31.934571,118.823153,5,0,Standard
174,Station_174,Station_174,31.932584,118.847464,6,0,Standard
175,Station_175,Station_175,31.936037,118.873471,7,1,Standard
176,Station_176,Station_176,31.945423,118.899971,8,0,Standard
177,Station_177,Station_177,31.960974,118.925648,9,0,Standard
178,Station_178,Station_178,31.982636,118.94913,10,0,Standard
179,Station_179,Station_179,32.010064,118.969048,11,0,Standard
180,Station_180,Station_180,32.043681,118.8041,12,0,Standard
181,Station_181,Station_181,32.049169,118.815646,13,0,Standard
182,Station_182,Station_182,32.058601,118.825536,1,1,Standard
183,Station_183,Station_183,32.071507,118.832765,2,0,Standard
184,Station_184,Station_184,32.087193,118.836455,3,0,Standard
185,Station_185,Station_185,32.104769,118.835895,4,0,Standard
186,Lukou Airport,Lukou Airport,31.7421,118.8621,9,0,Hub
187,Station_187,Station_187,32.141307,118.820271,6,0,Standard
188,Station_188,Station_188,32.157911,118.80495,7,0,Standard
189,Station_189,Station_189,32.171798,118.784897,8,1,Standard
190,Station_190,Station_190,32.181822,118.760652,9,0,Standard
191,Station_191,Station_191,32.186957,118.733012,10,0,Standard
192,Station_192,Station_192,32.186344,118.702999,11,0,Standard
