file,rows_read,rows_kept,rows_nan,epoch_repaired,dup_dropped,n_bins,n_stations,date_min,date_max,discarded
20230307.txt,1628261,1627478,0,0,783,350,190,2022-08-10 19:00:41,2023-03-08 01:29:46,783
20230306.txt,1649440,1648675,0,0,765,413,190,2022-11-24 09:11:31,2023-03-07 01:35:13,765
20230308.txt,1771272,1770161,0,0,1111,357,190,2022-10-16 20:56:31,2023-03-09 01:47:46,1111
20230529-31.txt,4612589,4610431,0,1,2158,788,191,2022-07-19 07:25:00,2023-06-01 01:07:17,2158
20230329-31.txt,5456310,5452922,0,1,3388,758,190,2019-05-05 15:41:18,2023-04-01 01:12:40,3388
20230317-19.txt,5765809,5760486,0,2,5323,714,190,2020-10-22 16:50:36,2023-03-20 01:33:25,5323
20230525-28.txt,6021603,6017344,0,14,4259,946,191,2023-02-02 08:00:54,2023-05-29 01:31:36,4259
20230521-24.txt,6159400,6155575,0,3,3825,958,191,2022-07-12 07:37:26,2023-05-25 01:42:42,3825
20230505-08.txt,6220151,6216328,0,29,3823,926,191,2022-11-29 16:33:58,2023-05-09 01:35:18,3823
20230513-16.txt,6348705,6344318,0,156,4387,920,191,2020-03-04 10:14:05,2023-05-17 01:41:07,4387
20230509-12.txt,6712494,6708817,0,1,3677,931,191,2022-02-17 06:37:11,2023-05-13 00:49:12,3677
20230517-20.txt,6786396,6781651,0,57,4745,938,191,2022-01-12 16:24:18,2023-05-21 01:11:56,4745
20230313-16.txt,6798921,6795115,0,1,3806,964,191,2022-06-18 19:15:50,2023-03-17 01:54:55,3806
20230501-04.txt,6879213,6871857,0,2,7356,949,191,2022-05-02 19:30:46,2023-05-05 01:42:58,7356
20230309-12.txt,6939179,6934019,0,1,5160,908,192,2022-07-28 00:43:12,2023-03-13 01:45:34,5160
20230325-28.txt,7190706,7184674,0,10,6032,919,191,2022-10-16 17:23:07,2023-03-29 01:08:44,6032
20230301-05.txt,8860460,8854058,0,0,6402,1104,191,2020-03-04 09:27:13,2023-03-06 01:25:16,6402
