date,records,weekend,event
2023-03-01,3336227,False,True
2023-03-02,3262923,False,False
2023-03-03,3836990,False,False
2023-03-04,3936721,True,False
2023-03-05,3297836,True,True
2023-03-06,3287944,False,False
2023-03-07,3246557,False,False
2023-03-08,3532058,False,False
2023-03-09,3239575,False,True
2023-03-10,3827331,False,False
2023-03-11,3595764,True,False
2023-03-12,3173862,True,False
2023-03-13,3304472,False,False
2023-03-14,3338264,False,True
2023-03-15,3554145,False,True
2023-03-16,3359649,False,True
2023-03-17,3661713,False,False
2023-03-18,4190929,True,True
2023-03-19,3644398,True,True
2023-03-25,3883453,True,True
2023-03-26,3525510,True,True
2023-03-27,3467030,False,False
2023-03-28,3457700,False,False
2023-03-29,3461030,False,False
2023-03-30,3362522,False,False
2023-03-31,4055912,False,True
2023-05-01,4362747,False,True
2023-05-02,3573947,False,True
2023-05-03,2602795,False,True
2023-05-04,3145805,False,False
2023-05-05,3163721,False,False
2023-05-06,3374262,True,True
2023-05-07,2593847,True,False
2023-05-08,3261676,False,False
2023-05-09,3255364,False,False
2023-05-10,3244335,False,False
2023-05-11,3229491,False,True
2023-05-12,3647009,False,False
2023-05-13,3386793,True,True
2023-05-14,2934113,True,True
2023-05-15,3196124,False,False
2023-05-16,3126363,False,False
2023-05-17,3011397,False,False
2023-05-18,3200916,False,False
2023-05-19,3673809,False,False
2023-05-20,3633643,True,True
2023-05-21,2866844,True,True
2023-05-22,3123287,False,False
2023-05-23,3158481,False,False
2023-05-24,3121285,False,False
2023-05-25,3218706,False,False
2023-05-26,3458127,False,False
2023-05-27,2885107,True,True
2023-05-28,2432670,True,True
2023-05-29,3016293,False,False
2023-05-30,3041562,False,False
2023-05-31,3130893,False,False
