hour,weekday_Commuter,weekday_Casual,weekday_Tourist/Visitor,weekday_Concession/Student,weekend_Commuter,weekend_Casual,weekend_Tourist/Visitor,weekend_Concession/Student
6.0,1709.9615,1540.996,529.15015,1228.3556,1218.5238,1219.7144,433.97595,988.28577
6.1666665,2445.082,2227.5964,730.8259,1642.6912,1679.2231,1712.9248,592.5855,1273.1416
6.3333335,3465.729,3148.5752,948.5806,2145.1157,2168.378,2187.6191,728.58594,1569.8546
6.5,4824.196,4382.0464,1247.1616,2726.6455,2874.6785,2906.1272,923.7386,1949.6428
6.6666665,6619.1934,5730.9834,1535.3071,3371.1265,3643.3623,3620.2122,1092.4612,2284.9648
6.8333335,8768.029,7160.6562,1830.4318,3991.2964,4278.065,4189.931,1240.2006,2497.9282
7.0,11401.582,8858.372,2205.6104,4791.0957,5191.433,4992.5137,1431.4265,2887.1272
7.1666665,14750.276,11239.137,2713.3052,5776.0376,6176.197,6014.4956,1718.0248,3265.6587
7.3333335,18420.855,13695.236,3247.7764,6722.011,7084.683,7031.1377,1981.8243,3546.9175
7.5,23016.316,16904.732,3875.559,7845.5596,8318.992,8182.7383,2262.4714,3958.4854
7.6666665,27732.777,20254.934,4546.0625,8959.762,9397.887,9558.791,2573.2134,4346.547
7.8333335,31071.01,22623.32,4959.2354,9777.224,9933.203,10077.262,2731.6868,4536.7866
8.0,34996.734,25911.74,5574.2646,10786.336,10704.874,11131.592,2951.1367,4822.4624
8.166667,38868.66,29528.664,6249.757,11765.359,11973.259,12792.905,3345.8389,5258.3105
8.333333,36210.703,28455.555,6104.1206,11322.79,11944.74,13290.646,3568.4094,5356.2646
8.5,32544.156,26848.893,5893.1807,10577.558,12030.208,13947.815,3753.5137,5485.5254
8.666667,31904.357,27082.316,5970.072,10507.15,12492.297,14927.359,4068.5996,5726.493
8.833333,24328.43,22049.81,5342.164,8896.299,11205.192,14616.916,4259.365,5538.153
9.0,16021.196,15890.608,4331.8823,7024.1616,9714.525,13598.339,4264.094,5173.605
9.166667,13038.436,13906.239,3982.8838,6353.538,9680.167,13983.25,4275.361,5230.2227
9.333333,11122.776,12725.748,3824.0571,5949.5405,9286.394,13923.518,4348.7095,5210.8794
9.5,9240.408,11257.349,3561.42,5427.724,9002.771,13961.713,4362.8438,5146.173
9.666667,8613.109,11066.581,3542.157,5216.4697,9168.498,14582.079,4513.329,5215.4697
9.833333,7786.336,10246.354,3404.9248,4876.9473,8876.951,14450.295,4588.4355,5086.195
10.0,6948.341,9493.683,3213.1208,4553.0024,8394.198,13844.175,4336.523,4846.4775
10.166667,6648.7256,9314.636,3198.977,4383.9316,8480.288,14196.467,4411.939,4857.931
10.333333,6410.395,9163.975,3149.808,4274.311,8361.013,14144.578,4391.9956,4778.977
10.5,6179.3257,9053.552,3131.257,4118.3057,8317.328,14126.669,4317.331,4669.736
10.666667,6170.9023,9225.525,3203.0366,4055.0,8482.744,14754.943,4523.168,4701.2695
10.833333,5997.434,9074.983,3183.4863,3971.6826,8389.678,14706.59,4549.432,4618.24
11.0,5825.1045,8906.174,3103.2083,3854.9285,8136.3047,14344.949,4331.5264,4433.4077
11.166667,5890.7476,9187.75,3195.5288,3806.0464,8292.253,14848.846,4485.407,4394.371
11.333333,5757.315,8920.346,3117.7773,3677.5366,8105.964,14503.235,4385.812,4264.553
11.5,5902.815,9090.001,3090.1335,3649.0754,8107.526,14464.999,4269.711,4201.7036
11.666667,6149.2056,9507.603,3163.2026,3701.2358,8231.044,14911.384,4339.1104,4205.898
11.833333,6124.543,9652.869,3267.4485,3685.4321,8252.485,15207.235,4525.736,4241.608
12.0,6144.0146,9720.093,3243.0808,3668.7412,8312.156,15407.346,4528.786,4254.3394
12.166667,6409.935,10226.452,3352.2783,3738.9214,8688.24,16088.06,4684.091,4367.8594
12.333333,6389.9575,10167.151,3388.0066,3756.2505,8753.637,16188.176,4716.229,4443.209
12.5,6423.0024,10117.771,3309.4893,3743.76,8834.7705,16302.576,4684.495,4477.0317
12.666667,6630.9146,10489.18,3374.5854,3845.54,9215.208,16938.418,4879.1846,4666.88
12.833333,6622.548,10460.351,3378.6238,3917.8171,9187.099,16929.809,4872.899,4703.6323
13.0,6734.4175,10579.783,3408.2935,3978.5781,9320.562,17078.605,4885.5786,4812.504
