station_id,Commuter,Casual,Tourist/Visitor,Concession/Student
9,29.24889,47.90032,11.773185,11.077607
44,22.594574,48.50706,19.081358,9.817004
14,22.644964,46.417747,19.778671,11.158614
26,29.927605,44.07725,12.194223,13.800926
11,35.927525,37.13629,10.634163,16.302021
93,44.140347,33.853104,7.3426137,14.663943
10,35.881123,40.25468,9.827283,14.03691
101,19.8704,47.271,21.684978,11.173621
25,34.42795,37.884686,10.53252,17.154835
7,31.195446,43.043194,12.124768,13.636586
12,30.11941,43.309147,12.458712,14.112735
41,38.388165,40.363487,8.742573,12.505767
17,36.18786,38.909977,9.062864,15.839301
16,40.71822,33.919777,7.9954214,17.366583
98,24.00019,48.24062,14.856683,12.902509
33,38.911434,36.669132,8.030007,16.389427
21,37.4853,39.76615,8.236078,14.512481
97,34.25312,40.953823,9.557469,15.235591
30,29.444044,45.360104,11.39366,13.802193
2,39.256413,38.30657,8.6696,13.767415
92,43.74045,35.467674,7.2809772,13.510895
114,38.752663,36.36292,7.9870305,16.897379
24,35.45318,37.199856,10.126215,17.220747
102,26.642206,43.97555,13.295291,16.086956
8,33.46732,41.476948,9.830471,15.225265
52,28.301733,49.377815,11.0264225,11.294018
48,28.887554,50.049484,10.037006,11.025958
100,34.755283,38.756565,9.712998,16.775158
28,28.201511,45.60693,13.077445,13.114114
13,36.555244,38.32825,9.044842,16.071663
