hour,actual,baseline_median,excess_Commuter,excess_Casual,excess_Tourist/Visitor,excess_Concession/Student
6.0,2,3.0,0.0,0.0,0.0,0.09285283
6.1666665,8,5.0,1.8364005,0.2607162,0.74284756,0.017178774
6.3333335,13,8.0,3.3358274,1.6801418,0.25863397,0.0
6.5,14,5.0,1.4173579,2.291875,0.33901316,3.9517536
6.6666665,20,13.0,5.614619,1.8205247,0.19980162,0.79362416
6.8333335,33,12.0,10.674414,2.7578728,0.7033174,5.864397
7.0,61,16.0,19.738312,16.389553,2.7914867,7.6520767
7.1666665,54,27.0,18.484097,6.4154305,0.9953239,3.1051493
7.3333335,72,34.0,22.064407,10.855914,1.7450701,5.4774685
7.5,90,30.0,32.900345,14.287187,2.5411077,10.842788
7.6666665,136,29.0,54.845284,28.598661,4.976883,19.150599
7.8333335,162,34.0,55.480724,32.871937,6.7059355,29.084267
8.0,160,42.0,47.503666,29.913414,6.1269193,36.59886
8.166667,180,41.0,53.50363,31.519623,7.564629,45.55497
8.333333,236,36.0,70.354576,47.861267,11.748837,70.60676
8.5,185,28.0,57.09957,35.260086,7.146096,57.3514
8.666667,85,26.0,20.483418,16.392761,4.0707884,16.05303
8.833333,75,27.0,18.86589,13.555197,2.4899817,12.517505
9.0,58,26.0,10.684882,8.660137,1.0406051,9.757234
9.166667,39,21.0,8.362877,3.6800222,1.0845746,6.443955
9.333333,36,24.0,4.121394,4.4524646,0.7031313,3.723011
9.5,20,25.0,0.0,0.0,0.15794039,0.7099781
9.666667,17,20.0,0.0,0.0,0.0,0.0
9.833333,13,20.0,0.0,0.0,0.0,0.42771006
10.0,19,12.0,2.4278946,1.8642204,0.1995511,1.7940495
10.166667,14,23.0,0.0,0.0,0.0,0.0
10.333333,41,18.0,5.1345606,6.2701607,1.2476792,7.490456
10.5,32,18.0,3.8901834,3.3066597,0.302292,6.358008
10.666667,45,19.0,5.281109,9.911432,1.6254139,9.182045
10.833333,39,24.0,4.5842934,5.1086354,0.53240657,4.774665
11.0,42,25.0,4.5550356,2.6761732,0.21431684,8.554475
11.166667,42,21.0,4.7841225,5.5206404,1.2799997,9.558096
11.333333,26,15.0,1.0758824,2.1854916,0.7513708,5.844397
11.5,32,22.0,1.9197388,0.67266846,0.30841088,6.0991807
11.666667,35,23.0,2.434227,3.5715942,0.6565751,6.623318
11.833333,39,17.0,7.1943173,2.3921552,0.8065084,10.749877
12.0,22,17.0,0.5783224,0.8805609,0.0,3.5689716
12.166667,20,15.0,1.9452443,0.0,0.0,3.5877964
12.333333,33,15.0,4.3613214,2.3569806,2.301692,10.694291
12.5,32,14.0,4.0855966,3.5399761,2.4897485,4.5989647
12.666667,23,15.0,3.2198071,0.0,0.0,5.386807
12.833333,16,14.0,0.14152908,0.0,0.0,2.9247928
13.0,24,12.0,0.5067744,0.086248875,1.8372741,7.283989
13.166667,25,15.0,2.0247998,4.15786,0.49079287,3.7551186
13.333333,14,13.0,0.67133045,0.0,0.0,1.9097173
13.5,16,13.0,0.39502573,0.0,0.007867098,1.2341924
13.666667,22,16.0,2.2169375,0.0,0.0,6.5745363
13.833333,30,14.0,3.6125689,2.5099025,1.5644045,6.598838
14.0,26,16.0,2.4815912,0.29769564,0.0,6.4547315
14.166667,12,12.0,0.0,0.16473675,0.035075545,0.23767567
14.333333,22,13.0,1.9043827,2.6131864,0.29468107,2.1877491
14.5,26,17.0,1.568573,0.0,0.0,8.024676
14.666667,23,10.0,2.7855248,3.7865503,0.6824307,4.4597797
14.833333,16,12.0,0.49422312,0.0,1.2235355,1.7928877
15.0,17,18.0,0.0,0.0,0.0,3.482265
15.166667,17,16.0,0.0,0.0,0.0,2.5375438
15.333333,25,19.0,0.26256323,2.047377,0.10865295,3.2956924
15.5,21,18.0,0.18559647,0.0,0.19980013,3.4792972
15.666667,28,13.0,2.4936047,2.5911875,0.0,8.499601
15.833333,31,16.0,5.127978,1.2733898,0.10448837,8.779859
16.0,23,23.0,0.0,0.0,0.032980084,2.7052727
16.166666,33,17.0,3.3811612,1.8164926,2.0027313,7.7996144
16.333334,31,22.0,4.7376714,0.51262,0.2889061,5.1750894
16.5,25,19.0,0.4301443,0.8253684,1.0216635,2.294251
16.666666,40,24.0,7.929879,1.3181453,0.0798614,5.529258
16.833334,93,26.0,23.15052,11.865019,3.3501074,29.634356
17.0,234,29.0,62.29847,43.773212,10.997053,90.21698
17.166666,93,19.0,23.37656,12.282012,3.445201,32.039085
17.333334,81,24.0,20.676926,9.660248,2.7400799,23.20846
17.5,47,22.0,7.257642,5.5651946,0.986869,10.7617235
17.666666,51,20.0,16.323044,7.937859,1.7155818,4.5949426
17.833334,48,22.0,17.06239,5.235939,1.0609996,3.9263911
18.0,43,26.0,9.002219,2.380434,0.62423456,5.707401
18.166666,56,26.0,16.00473,9.821653,1.0933552,4.2231183
18.333334,69,21.0,24.205173,14.627322,2.186942,4.551995
18.5,42,16.0,16.042372,6.5635,0.9337456,2.7460992
18.666666,60,24.0,20.47342,8.684045,1.6197507,3.7942119
18.833334,80,34.0,26.115993,13.323227,3.6013434,5.6737213
19.0,45,17.0,10.314059,12.041361,1.7614716,2.1688263
19.166666,49,13.0,16.981363,10.39003,2.8056734,5.537223
19.333334,41,18.0,13.543565,5.20319,0.8578999,2.6810594
19.5,25,12.0,6.6176004,3.8960872,0.29474366,1.7629972
19.666666,24,15.0,6.38238,2.3219085,0.5507481,0.0
19.833334,34,8.0,11.830022,6.957129,2.0807676,5.2749395
20.0,17,8.0,5.10689,0.47318387,1.7044611,0.5726079
20.166666,7,14.0,0.0,0.0,0.0,0.0
20.333334,23,7.0,6.233763,4.6717978,0.86624753,3.3710482
20.5,17,6.0,5.613286,2.8537946,0.3166451,1.3591309
20.666666,24,10.0,5.982355,4.6052303,0.54656917,2.0087028
20.833334,13,12.0,0.9778223,0.0,0.0,0.45201492
21.0,17,12.0,4.967248,0.0,0.0,0.0
21.166666,15,7.0,5.0865726,0.0,0.0,0.7735599
