epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
0,0.2305427518192228,0.1639279695330085,0.0003,0.1556868106126785,2.1,True,0,2026-07-29T07:31:21,LSTM
1,0.1573022405852328,0.1325444791998182,0.0003,0.1704994291067123,1.5,True,0,2026-07-29T07:31:22,LSTM
2,0.1409431031280821,0.1269749567567647,0.0003,0.2141260206699371,1.6,True,0,2026-07-29T07:31:24,LSTM
3,0.136264032960593,0.1259672875915254,0.0003,0.1867399960756302,1.6,True,0,2026-07-29T07:31:26,LSTM
4,0.134391399366515,0.1235629584189954,0.0003,0.1910376995801925,1.6,True,0,2026-07-29T07:31:27,LSTM
5,0.1331677250809722,0.1218848963278335,0.0003,0.2204548865556717,1.5,True,0,2026-07-29T07:31:29,LSTM
6,0.1323726924238624,0.1206991640994182,0.0003,0.2251584231853485,1.5,True,0,2026-07-29T07:31:30,LSTM
7,0.1311642892085588,0.1219949929432554,0.0003,0.1715022921562194,1.5,False,1,2026-07-29T07:31:32,LSTM
8,0.130448419707162,0.1208898195034855,0.0003,0.1845298558473587,1.5,False,2,2026-07-29T07:31:33,LSTM
9,0.1301786229178145,0.1192191398733264,0.0003,0.2181692719459533,1.5,True,0,2026-07-29T07:31:35,LSTM
10,0.1293553101492452,0.1207619864534545,0.0003,0.2113693058490753,1.5,False,1,2026-07-29T07:31:37,LSTM
11,0.1288142427802086,0.118003705987236,0.0003,0.1599632799625396,1.6,True,0,2026-07-29T07:31:38,LSTM
12,0.1287200137481584,0.1186510927893303,0.0003,0.2003831267356872,1.6,False,1,2026-07-29T07:31:40,LSTM
13,0.1280080803475537,0.117635982622812,0.0003,0.256290078163147,1.6,True,0,2026-07-29T07:31:42,LSTM
14,0.1274683823952308,0.1173038083118396,0.0003,0.1872966736555099,1.6,True,0,2026-07-29T07:31:43,LSTM
15,0.1280633705002921,0.1168265659976136,0.0003,0.2693275809288025,1.6,True,0,2026-07-29T07:31:45,LSTM
16,0.1271322406746529,0.1166978592646646,0.0003,0.2163290977478027,1.6,True,0,2026-07-29T07:31:47,LSTM
17,0.1266118823826968,0.1159611801606613,0.0003,0.2094096392393112,1.6,True,0,2026-07-29T07:31:48,LSTM
18,0.1264232809727008,0.1158276494223992,0.0003,0.2532834410667419,1.6,True,0,2026-07-29T07:31:50,LSTM
19,0.1263270199953854,0.1165865199169614,0.0003,0.2112356275320053,1.6,False,1,2026-07-29T07:31:51,LSTM
20,0.1259671003445164,0.1153149929839176,0.0003,0.1828313171863556,1.7,True,0,2026-07-29T07:31:53,LSTM
21,0.1256369722085994,0.116281971007913,0.0003,0.2314376085996627,1.7,False,1,2026-07-29T07:31:55,LSTM
22,0.1254523764272312,0.1150187167574416,0.0003,0.2423206716775894,1.6,True,0,2026-07-29T07:31:57,LSTM
23,0.1253148821356532,0.1160113212580864,0.0003,0.2986321449279785,1.6,False,1,2026-07-29T07:31:58,LSTM
24,0.1251617392013361,0.1142787158816725,0.0003,0.2381650805473327,1.7,True,0,2026-07-29T07:32:00,LSTM
25,0.1247196587559941,0.1153700375049323,0.0003,0.2770545482635498,1.6,False,1,2026-07-29T07:32:01,LSTM
26,0.1246482042984648,0.1145997098595886,0.0003,0.2450723946094513,1.6,False,2,2026-07-29T07:32:03,LSTM
27,0.1243008431333762,0.1146205853629898,0.0003,0.2223609387874603,1.6,False,3,2026-07-29T07:32:05,LSTM
28,0.1240829939698125,0.1144848878157662,0.0003,0.3515439033508301,1.6,False,4,2026-07-29T07:32:06,LSTM
29,0.1240013008916771,0.1136364747289118,0.0003,0.2004818767309188,1.7,True,0,2026-07-29T07:32:08,LSTM
