t,actual,tdagnet
2023-05-27 08:00:00,159.0,189.91266
2023-05-27 08:10:00,171.0,178.96155
2023-05-27 08:20:00,185.0,169.18823
2023-05-27 08:30:00,184.0,165.953
2023-05-27 08:40:00,183.0,163.60272
2023-05-27 08:50:00,228.0,147.11517
2023-05-27 09:00:00,238.0,142.90198
2023-05-27 09:10:00,272.0,150.41925
2023-05-27 09:20:00,337.0,164.83197
2023-05-27 09:30:00,278.0,199.9057
2023-05-27 09:40:00,289.0,218.56091
2023-05-27 09:50:00,289.0,234.80304
2023-05-27 10:00:00,298.0,251.04932
2023-05-27 10:10:00,315.0,272.26263
2023-05-27 10:20:00,376.0,306.27563
2023-05-27 10:30:00,338.0,357.51184
2023-05-27 10:40:00,371.0,383.11865
2023-05-27 10:50:00,413.0,424.70587
2023-05-27 11:00:00,399.0,462.549
2023-05-27 11:10:00,422.0,488.47458
2023-05-27 11:20:00,530.0,537.5921
2023-05-27 11:30:00,450.0,609.71094
2023-05-27 11:40:00,521.0,647.1565
2023-05-27 11:50:00,578.0,692.7351
2023-05-27 12:00:00,645.0,748.7328
2023-05-27 12:10:00,700.0,793.9088
2023-05-27 12:20:00,747.0,851.57336
2023-05-27 12:30:00,886.0,902.777
2023-05-27 12:40:00,997.0,981.762
2023-05-27 12:50:00,994.0,1054.8739
2023-05-27 13:00:00,1019.0,1087.1902
2023-05-27 13:10:00,1156.0,1114.2457
2023-05-27 13:20:00,1112.0,1189.1824
2023-05-27 13:30:00,1148.0,1216.2317
2023-05-27 13:40:00,1149.0,1244.9902
2023-05-27 13:50:00,1201.0,1262.8296
2023-05-27 14:00:00,1277.0,1290.1964
2023-05-27 14:10:00,1365.0,1316.7661
2023-05-27 14:20:00,1331.0,1386.6846
2023-05-27 14:30:00,1196.0,1390.9103
2023-05-27 14:40:00,1255.0,1358.4967
2023-05-27 14:50:00,1228.0,1355.6576
2023-05-27 15:00:00,1340.0,1350.55
2023-05-27 15:10:00,1418.0,1389.4335
2023-05-27 15:20:00,1451.0,1439.3447
2023-05-27 15:30:00,1375.0,1492.9956
2023-05-27 15:40:00,1346.0,1492.627
2023-05-27 15:50:00,1364.0,1469.9114
2023-05-27 16:00:00,1435.0,1453.0701
2023-05-27 16:10:00,1387.0,1473.5513
2023-05-27 16:20:00,1495.0,1476.0752
2023-05-27 16:30:00,1377.0,1540.6014
2023-05-27 16:40:00,1530.0,1521.2018
2023-05-27 16:50:00,1347.0,1568.991
2023-05-27 17:00:00,1548.0,1538.513
2023-05-27 17:10:00,1656.0,1612.6033
2023-05-27 17:20:00,1573.0,1700.4186
2023-05-27 17:30:00,1493.0,1759.738
2023-05-27 17:40:00,1705.0,1768.3643
2023-05-27 17:50:00,1769.0,1853.7872
2023-05-27 18:00:00,1836.0,1876.2102
2023-05-27 18:10:00,2304.0,1871.2347
2023-05-27 18:20:00,1850.0,2033.0905
2023-05-27 18:30:00,1775.0,1950.0721
2023-05-27 18:40:00,1723.0,1889.3008
2023-05-27 18:50:00,1618.0,1800.9464
2023-05-27 19:00:00,1817.0,1714.1509
2023-05-27 19:10:00,1659.0,1713.657
2023-05-27 19:20:00,1747.0,1705.0342
2023-05-27 19:30:00,1800.0,1725.3965
2023-05-27 19:40:00,1841.0,1737.905
2023-05-27 19:50:00,1754.0,1759.4843
2023-05-27 20:00:00,1870.0,1765.5544
2023-05-27 20:10:00,1837.0,1839.4004
2023-05-27 20:20:00,1795.0,1864.4446
2023-05-27 20:30:00,1883.0,1863.5757
2023-05-27 20:40:00,1994.0,1874.9143
2023-05-27 20:50:00,1971.0,1941.9032
2023-05-27 21:00:00,1983.0,1956.8722
2023-05-27 21:10:00,2176.0,1980.7438
2023-05-27 21:20:00,1948.0,2126.005
2023-05-27 21:30:00,1644.0,1987.5349
2023-05-27 21:40:00,1710.0,1710.4083
2023-05-27 21:50:00,1560.0,1580.1163
2023-05-27 22:00:00,2030.0,1407.9623
2023-05-27 22:10:00,1541.0,1585.6033
2023-05-27 22:20:00,1051.0,1399.4521
2023-05-27 22:30:00,1087.0,986.89185
2023-05-27 22:40:00,911.0,809.7389
2023-05-27 22:50:00,433.0,636.37024
2023-05-27 23:00:00,340.0,377.00787
