card,Commuter,Casual,Tourist/Visitor,Concession/Student
card_121,0.10648368,0.72259665,0.08794646,0.082973175
card_100,0.6908025,0.15364136,0.05834711,0.097209096
card_53,0.69220734,0.12448668,0.05863887,0.12466709
card_51,0.04915866,0.085288346,0.8103088,0.055244133
card_52,0.6834803,0.12590131,0.057035618,0.13358274
card_113,0.10788268,0.10895535,0.057181343,0.7259807
card_108,0.6186643,0.15411046,0.058973238,0.16825204
card_55,0.107643835,0.09921188,0.065916814,0.72722745
card_103,0.16827954,0.57935894,0.09907538,0.15328619
card_80,0.66844076,0.13468318,0.0525637,0.14431238
card_120,0.67298317,0.15249252,0.05850504,0.11601931
card_123,0.13183348,0.61509293,0.13646118,0.1166124
card_85,0.105806835,0.099685416,0.058004536,0.7365032
card_102,0.743534,0.11293908,0.044771377,0.0987556
card_104,0.098774865,0.0888881,0.056297954,0.75603914
card_56,0.30479327,0.15676636,0.06803623,0.47040403
card_101,0.20263867,0.58286273,0.09890962,0.11558903
card_59,0.17902803,0.16410595,0.06491203,0.59195393
card_118,0.08880365,0.31421757,0.52185583,0.07512298
card_54,0.16308694,0.6076977,0.09440911,0.13480628
card_119,0.6945978,0.13718447,0.061402928,0.106814824
card_83,0.15400416,0.12379548,0.057372246,0.66482806
card_111,0.17446332,0.1540937,0.06450518,0.6069378
card_122,0.67392343,0.1414681,0.074726105,0.10988235
OTHER,0.63538814,0.16868928,0.06559543,0.13032715
