Commuter,Casual,Tourist/Visitor,Concession/Student,hour,event
0.45964316,0.23228492,0.17444341,0.13362858,8.0,False
0.45809668,0.23158473,0.17569296,0.13462566,8.0,False
0.45650694,0.23100175,0.17685947,0.13563186,8.0,False
0.4549607,0.230487,0.17793654,0.13661578,8.5,False
0.45357612,0.22997303,0.17891712,0.13753375,8.5,False
0.45214045,0.22959152,0.17980559,0.13846245,8.5,False
0.45065755,0.22934292,0.18059911,0.1394004,9.0,False
0.4491313,0.22922757,0.18129507,0.14034608,9.0,False
0.44756544,0.22924566,0.18189113,0.14129782,9.0,False
0.44596353,0.22939724,0.1823852,0.14225395,9.5,False
0.4443293,0.22968242,0.18277565,0.14321266,9.5,False
0.44267333,0.23023814,0.18298675,0.14410183,9.5,False
0.44100943,0.23126702,0.1829086,0.1448149,10.0,False
0.43932277,0.23244038,0.1827192,0.14551759,10.0,False
0.43799183,0.233712,0.18229821,0.14599793,10.0,False
0.43798414,0.23496376,0.18133931,0.14571269,10.5,False
0.43792158,0.23634292,0.18029341,0.14544204,10.5,False
0.4378606,0.23783621,0.17913654,0.14516667,10.5,False
0.43771452,0.23949274,0.17788756,0.14490518,11.0,False
0.43745443,0.24129398,0.17657878,0.14467281,11.0,False
0.43707904,0.24323843,0.17521332,0.14446919,11.0,False
0.4368272,0.24522945,0.1737471,0.14419626,11.5,False
0.43652415,0.24733233,0.17221877,0.14392476,11.5,False
0.43610278,0.24957095,0.17064503,0.14368124,11.5,False
0.43556204,0.2519431,0.16902953,0.14346531,12.0,False
0.43490124,0.25444633,0.16737589,0.14327653,12.0,False
0.43411988,0.25707784,0.16568778,0.14311445,12.0,False
0.43324637,0.2598549,0.1639381,0.14296064,12.5,False
0.43233046,0.26287174,0.16204901,0.14274874,12.5,False
0.4314269,0.26625136,0.15992688,0.14239487,12.5,False
0.43032494,0.27037364,0.15729196,0.1420094,13.0,False
0.4289308,0.27503982,0.15438451,0.14164487,13.0,False
0.4271669,0.28056026,0.15113716,0.14113563,13.0,False
0.4252087,0.286385,0.1478239,0.14058244,13.5,False
0.42311928,0.29232478,0.14453655,0.1400194,13.5,False
0.42090243,0.29836863,0.1412819,0.13944705,13.5,False
0.41856277,0.3045048,0.13806646,0.138866,14.0,False
0.41610563,0.31072083,0.13489647,0.13827707,14.0,False
0.41353717,0.31700385,0.13177776,0.13768129,14.0,False
0.4108643,0.32334018,0.12871583,0.13707978,14.5,False
0.40809447,0.3297159,0.12571573,0.13647386,14.5,False
0.40523607,0.33611652,0.122782305,0.13586512,14.5,False
0.4022978,0.34252727,0.11991985,0.13525511,15.0,False
0.39929968,0.3489248,0.11713157,0.13464397,15.0,False
0.39635858,0.35521123,0.11441321,0.13401705,15.0,False
0.3933745,0.3614541,0.11177712,0.13339426,15.5,False
0.39035776,0.3676379,0.10922638,0.13277791,15.5,False
0.38824698,0.3731243,0.106704816,0.1319239,15.5,False
0.38611397,0.37870947,0.10418361,0.13099301,16.0,False
0.3838008,0.38481957,0.10151963,0.12985998,16.0,False
0.38148078,0.39079964,0.09896612,0.12875347,16.0,False
0.37916407,0.3966349,0.09652417,0.12767686,16.5,False
0.37686092,0.40231088,0.09419461,0.12663358,16.5,False
0.3754632,0.40741348,0.09191866,0.12520462,16.5,False
0.3756891,0.4113901,0.08970112,0.12321964,17.0,False
0.37624094,0.41489813,0.087610915,0.121249996,17.0,False
0.37685442,0.41819263,0.08562463,0.11932831,17.0,False
0.37753314,0.42126653,0.08374205,0.11745828,17.5,False
0.37828046,0.42411363,0.08196267,0.115643166,17.5,False
0.37943318,0.42640203,0.08031267,0.1138521,17.5,False
0.3809812,0.4282259,0.0787592,0.11203375,18.0,False
0.38257867,0.42983958,0.07730098,0.1102808,18.0,False
0.38422644,0.43124124,0.07593716,0.10859521,18.0,False
0.38592502,0.43242952,0.07466673,0.10697871,18.5,False
0.388056,0.43308955,0.07349743,0.105356984,18.5,False
0.3904083,0.43339333,0.07242257,0.10377579,18.5,False
0.3928122,0.4334806,0.0714372,0.102269985,19.0,False
0.39526606,0.43335345,0.07054024,0.10084031,19.0,False
0.39776772,0.43301433,0.06973074,0.09948728,19.0,False
0.40054172,0.43218488,0.069070764,0.098202616,19.5,False
0.40361753,0.43083167,0.068565644,0.09698519,19.5,False
0.40673387,0.4292791,0.06814221,0.09584477,19.5,False
0.40988597,0.42753282,0.06779992,0.09478125,20.0,False
0.4130684,0.4255989,0.06753824,0.09379441,20.0,False
0.41627553,0.42348364,0.06735675,0.092883974,20.0,False
0.41964635,0.4210331,0.06727035,0.09205017,20.5,False
0.4232105,0.41821536,0.067282,0.09129209,20.5,False
0.42681438,0.41520125,0.06737607,0.09060837,20.5,False
0.43045,0.41199917,0.067552455,0.089998364,21.0,False
0.4341089,0.4086184,0.067811206,0.0894615,21.0,False
0.4377822,0.40506834,0.06815247,0.088997066,21.0,False
0.44146052,0.40135854,0.06857651,0.08860446,21.5,False
0.4451342,0.3974991,0.06908369,0.08828304,21.5,False
0.4487932,0.39350015,0.06967445,0.088032246,21.5,False
0.45242718,0.38937205,0.07034938,0.08785141,22.0,False
0.45602563,0.38512534,0.07110911,0.08774003,22.0,False
0.45957747,0.38077065,0.07195435,0.087697506,22.0,False
0.46307197,0.3763187,0.07288593,0.087723374,22.5,False
0.46649784,0.37178043,0.07390463,0.08781711,22.5,False
0.469844,0.36716637,0.075011425,0.08797822,22.5,False
0.4730992,0.36248735,0.07620719,0.088206306,23.0,False
