figure_id,title,group,png,data,generated_at
F01,Fig. 1. Ingestion Audit & Data Retention across Source Files,01_corpus,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F01_fig_ingestion_audit.png,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F01_fig_ingestion_audit_data.csv,2026-07-30T16:23:33
F02,Fig. 2. Longitudinal Network Ridership & Flagged Event Days,01_corpus,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F02_fig_daily_ridership.png,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F02_fig_daily_ridership_data.csv,2026-07-30T16:23:34
F03,Fig. 3. Service-Hour Completeness & Data Availability Heatmap,01_corpus,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F03_fig_coverage_calendar.png,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F03_fig_coverage_calendar_data.csv,2026-07-30T16:23:36
F04,Fig. 4. Ticket Code Pareto Volume Distribution,01_corpus,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F04_fig_card_pareto.png,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F04_fig_card_pareto_data.csv,2026-07-30T16:23:37
F05,Fig. 5. Diurnal Temporal Signatures per Ticket Code,01_corpus,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F05_fig_card_signature_heatmap.png,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F05_fig_card_signature_heatmap_data.csv,2026-07-30T16:23:40
F06,Fig. 6. Demand Concentration Lorenz Curve across Stations,01_corpus,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F06_fig_demand_concentration.png,/content/drive/MyDrive/TDAG_Net/figures/01_corpus/F06_fig_demand_concentration_data.csv,2026-07-30T16:23:43
F07,Fig. 7. PCA Mapping of Passenger Personas in Feature Space,02_persona,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F07_fig_persona_space.png,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F07_fig_persona_space_data.csv,2026-07-30T16:23:44
F08,Fig. 8. Diurnal Persona Profiles (Weekday vs. Weekend),02_persona,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F08_fig_persona_profiles.png,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F08_fig_persona_profiles_data.csv,2026-07-30T16:23:45
F09,Fig. 9. TD-PDM Soft-Assignment Prior Matrix P0,02_persona,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F09_fig_prior_matrix.png,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F09_fig_prior_matrix_data.csv,2026-07-30T16:23:47
F10,Fig. 10. Persona Mix across Top 30 Busiest Stations,02_persona,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F10_fig_persona_by_station.png,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F10_fig_persona_by_station_data.csv,2026-07-30T16:23:48
F11,Fig. 11. Persona Flow Autocorrelation (Daily & Weekly),02_persona,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F11_fig_persona_acf.png,/content/drive/MyDrive/TDAG_Net/figures/02_persona/F11_fig_persona_acf_data.csv,2026-07-30T16:23:49
F12,"Inferred metro topology, coloured by line and sized by ridership",03_network,/content/drive/MyDrive/TDAG_Net/figures/03_network/F12_fig_network_graph.png,/content/drive/MyDrive/TDAG_Net/figures/03_network/F12_fig_network_graph_data.csv,2026-07-30T17:02:02
F13,"Adjacency panel: topology, aggregate correlation, and the K persona views",03_network,/content/drive/MyDrive/TDAG_Net/figures/03_network/F13_fig_adjacency_panel.png,,2026-07-30T17:02:09
F14,Fig. 14. Spatial Graph Cosine Distinctness Comparison,03_network,/content/drive/MyDrive/TDAG_Net/figures/03_network/F14_fig_graph_distinctness.png,/content/drive/MyDrive/TDAG_Net/figures/03_network/F14_fig_graph_distinctness_data.csv,2026-07-30T16:23:54
F15,Fig. 15. Spatial-Temporal Network Flow Heatmap,03_network,/content/drive/MyDrive/TDAG_Net/figures/03_network/F15_fig_flow_heatmap.png,,2026-07-30T16:23:59
F16,Fig. 16. Station-Level Z-Score Peak Surge Scan,04_event,/content/drive/MyDrive/TDAG_Net/figures/04_event/F16_fig_event_scan.png,/content/drive/MyDrive/TDAG_Net/figures/04_event/F16_fig_event_scan_data.csv,2026-07-30T16:24:02
F17,Fig. 17. Major Event Peak Anatomy & Persona Breakdown,04_event,/content/drive/MyDrive/TDAG_Net/figures/04_event/F17_fig_event_anatomy.png,/content/drive/MyDrive/TDAG_Net/figures/04_event/F17_fig_event_anatomy_data.csv,2026-07-30T16:24:03
F18,Fig. 18. Persona Mix & Dispersion: Event vs. Normal Days,04_event,/content/drive/MyDrive/TDAG_Net/figures/04_event/F18_fig_event_vs_normal.png,/content/drive/MyDrive/TDAG_Net/figures/04_event/F18_fig_event_vs_normal_data.csv,2026-07-30T16:24:04
F19,Fig. 19. EC-AAM Venue Proximity Matrix C_venue Footprint,04_event,/content/drive/MyDrive/TDAG_Net/figures/04_event/F19_fig_venue_footprint.png,/content/drive/MyDrive/TDAG_Net/figures/04_event/F19_fig_venue_footprint_data.csv,2026-07-30T16:24:06
F20,Fig. 20. Exogenous Context Vector z_t Trajectories,04_event,/content/drive/MyDrive/TDAG_Net/figures/04_event/F20_fig_exogenous.png,/content/drive/MyDrive/TDAG_Net/figures/04_event/F20_fig_exogenous_data.csv,2026-07-30T16:24:07
F21,Fig. 21. Training Convergence & Huber Loss Curves,05_training,/content/drive/MyDrive/TDAG_Net/figures/05_training/F21_fig_training_curves.png,/content/drive/MyDrive/TDAG_Net/figures/05_training/F21_fig_training_curves_data.csv,2026-08-04T18:33:29
F22,Fig. 22. Benchmark Comparison across All Six Metrics,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F22_fig_metric_comparison.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F22_fig_metric_comparison_data.csv,2026-08-04T18:33:35
F23,Fig. 23. Prediction Error Growth over Forecast Horizon,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F23_fig_horizon_degradation.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F23_fig_horizon_degradation_data.csv,2026-08-04T18:33:38
F24,Fig. 24. Actual vs. Predicted Flow at Key Hub Stations,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F24_fig_prediction_traces.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F24_fig_prediction_traces_data.csv,2026-08-04T18:33:46
F25,Fig. 25. Event-Window Zoom & Peak Forecasting Resilience,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F25_fig_event_zoom.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F25_fig_event_zoom_data.csv,2026-08-04T18:33:48
F26,Fig. 26. Architectural Component Ablation Study,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F26_fig_ablation.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F26_fig_ablation_data.csv,2026-08-04T18:33:51
F27,Fig. 27. TD-PDM Soft-Assignment Matrix Audit (P0 vs P*),06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F27_fig_learned_persona.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F27_fig_learned_persona_data.csv,2026-07-30T16:25:29
F28,Fig. 28. Learned Persona Adaptive Adjacencies A_adapt,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F28_fig_learned_adjacency.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F28_fig_learned_adjacency_data.csv,2026-07-30T16:25:31
F29,Fig. 29. Cross-Persona Fusion Gates beta_k(z_t) Dynamics,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F29_fig_fusion_gates.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F29_fig_fusion_gates_data.csv,2026-07-30T16:28:03
F30,Fig. 30. Persona Attribution of Predicted Event Peaks,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F30_fig_persona_attribution.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F30_fig_persona_attribution_data.csv,2026-07-30T16:28:35
F31,Fig. 31. Residual Diagnostics & Error Distributions,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F31_fig_residuals.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F31_fig_residuals_data.csv,2026-08-04T18:33:56
F32,Fig. 32. GIS Station-Level Error Distribution Map,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F32_fig_station_errors.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F32_fig_station_errors_data.csv,2026-08-04T18:33:59
F33,Fig. 33. Event-Day SOTA Benchmark Comparison,06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F33_fig_event_sota_benchmark.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F33_fig_event_sota_benchmark_data.csv,2026-08-04T18:34:00
F34,Fig. 34. Horizon Error Degradation (TDAG-Net vs. Baselines),06_results,/content/drive/MyDrive/TDAG_Net/figures/06_results/F34_fig_horizon_degradation_comparison.png,/content/drive/MyDrive/TDAG_Net/figures/06_results/F34_fig_horizon_degradation_comparison_data.csv,2026-08-04T18:34:01
