Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs
LSTM,39.36730794674898,17.09390199852619,24.461956228854632,0.910884660254391,19.108179722104754,26.377724641791367,201228,80
TCN,38.33378577412812,16.366722131104236,23.421337060164312,0.915502384155289,18.671724513984163,25.68522203741071,60844,80
ConvLSTM,39.055276823863615,16.68385374088446,23.875163199912798,0.9122917444936303,19.221131396905935,26.16865088317235,51724,80
SVR-LSTM,40.76063063663233,17.671366869278344,25.288328135822297,0.904464931011503,19.718381423916444,27.311308474869755,69644,80
STGCN,36.40546421862343,15.787637302876393,22.592646938849434,0.9237896109378678,17.886509470041048,24.39316683564947,38796,80
DCRNN,37.33308711039845,16.162717551120092,23.12939955481952,0.9198564013334773,18.28234711010592,25.01471254163886,64140,80
Graph WaveNet,34.388748273150426,14.76412031234394,21.127959249400146,0.9319992397108106,17.293095447051336,23.041883736425266,65068,80
AGCRN,33.99508289792741,14.51824016513173,20.77609638045612,0.9335472066418157,16.475135446575194,22.778111652169812,258050,80
TGALSTM,35.64555270087789,15.467135219511482,22.133997536553508,0.9269379694009657,17.380013154834923,23.883994687166997,210527,80
TDAG-Net (Input-Splitter),33.84054452877744,15.329446136810597,21.93695976749934,0.9341500093617874,16.7106683829224,22.674564552796312,285477,80
TDAG-Net (ours),32.306937748249496,14.023357264906421,20.06790208726526,0.9399832295590989,16.078628983835152,21.646984576530972,254260,80
TDAG-Net w/o PC-HGAT,33.79960242078096,15.135475792450727,21.659381595246092,0.9343092506837204,16.651209572648764,22.64713164698404,285477,80
TDAG-Net w/o EC-AAM,33.79960242078096,15.135475792450727,21.659381595246092,0.9343092506837204,16.651209572648764,22.64713164698404,285477,80
TDAG-Net w/o Adaptive,34.924468882047826,15.715417853752504,22.4892984462997,0.9298640550392989,17.311312511337217,23.40083870295595,285477,80
