Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs
LSTM,47.55315636378836,18.366881451342685,25.02638372521102,0.8868336724475517,19.108179722104754,29.856188270758153,201228,80
TCN,42.45023178029438,17.19151902762999,23.42485593673185,0.9098182503986119,18.671724513984163,26.652323611791083,60844,80
ConvLSTM,40.040131982441494,16.533924741770022,22.528829739958276,0.9197676476199264,19.221131396905935,25.13914554290465,51724,80
SVR-LSTM,48.859206499986286,18.871656232342172,25.714180801572017,0.8805320685589457,19.718381423916444,30.676190174713113,69644,80
STGCN,40.672900729316346,16.8920065611057,23.016745613943584,0.9172117278833811,17.886509470041048,25.536428589565535,38796,80
DCRNN,39.340449538836175,16.517161200864432,22.50598803934579,0.9225471930574036,18.28234711010592,24.699850817519565,64140,80
Graph WaveNet,35.655780837027514,15.314473080151332,20.867226745521542,0.9363763722766412,17.293095447051336,22.386436295989675,65068,80
AGCRN,30.866909687831146,13.488099665660112,18.378643040243706,0.9523190579274259,16.475135446575194,19.37974968320185,258050,80
TGALSTM,35.21598968401779,15.233143206954322,20.75640811687502,0.9379362059665465,17.380013154834923,22.110313984283973,210527,80
TDAG-Net (Input-Splitter),35.257749440171885,15.845835715004933,21.591251955370833,0.9377889259604313,16.7106683829224,22.136532793658887,285477,80
TDAG-Net (ours),31.948033171221734,14.001001789742356,19.07751428873318,0.948920483424028,16.078628983835152,20.058531676496138,254260,80
TDAG-Net w/o PC-HGAT,34.65492956264104,15.503559629809734,21.124872691653643,0.9398980495724776,16.651209572648764,21.758053106228047,285477,80
TDAG-Net w/o EC-AAM,34.65492956264104,15.503559629809734,21.124872691653643,0.9398980495724776,16.651209572648764,21.758053106228047,285477,80
TDAG-Net w/o Adaptive,34.6814311763024,15.613809454460528,21.275097128211236,0.9398060910707617,17.311312511337217,21.774692110396334,285477,80
