Model,RMSE,MAE,WMAPE,R2,EPE,NDE,Params,Epochs
LSTM,49.64467206556415,18.730589866433064,25.177864522068845,0.8810407933782543,22.267419383497025,30.64001306103354,201228,80
TCN,43.554959271924375,17.427175283780187,23.42580033123765,0.908435318201523,20.074717812872656,26.881525558313335,60844,80
ConvLSTM,40.31710063796888,16.49108788488019,22.16750137330909,0.9215430624611204,18.771951445417596,24.883163464126156,51724,80
SVR-LSTM,50.93713284668069,19.214596050360417,25.828470947903053,0.874766142527053,22.804686462807997,31.43770218992908,69644,80
STGCN,41.812247067241735,17.207540634885532,23.13056502505373,0.9156160632681828,19.53701059324242,25.805947404778973,38796,80
DCRNN,39.89543465266286,16.61843081507713,22.338677138045025,0.9231756015136001,18.756170044305936,24.622916981278866,64140,80
Graph WaveNet,36.009602584975326,15.471716728096297,20.797251473747487,0.9374122378732683,17.119816040664876,22.22463454022079,65068,80
AGCRN,29.91312110719644,13.193773808668226,17.735215594292935,0.9568106940392028,13.930850406148592,18.461969498163544,258050,80
TGALSTM,35.09229160395994,15.16628834622371,20.386691289854724,0.9405603524457657,16.544258152396637,21.658482740442125,210527,80
TDAG-Net (Input-Splitter),35.65231940414284,15.993375594489027,21.498471048701184,0.9386480538076472,16.515953097457835,22.004124244317584,285477,80
TDAG-Net (ours),31.844746052969505,13.994614511124059,18.811714458128833,0.9510527444145842,14.946758360597954,19.654142013460678,254260,80
TDAG-Net w/o PC-HGAT,34.89545823766997,15.608726440483741,20.981421433225417,0.9412252787554221,16.320817299860348,21.53699987706442,285477,80
TDAG-Net w/o EC-AAM,34.89545823766997,15.608726440483741,20.981421433225417,0.9412252787554221,16.320817299860348,21.53699987706442,285477,80
TDAG-Net w/o Adaptive,34.61167838119534,15.584778483234253,20.949230326191014,0.9421773374623886,16.173908312039313,21.361854828319657,285477,80
